QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,Percentage Change C_LAST,Percentage Change UNDERLYING_LAST,Percentage Gain C_LAST,Percentage Gain UNDERLYING_LAST,Days to Max C_LAST,Days to Max UNDERLYING_LAST
2018-01-08,174.35,2019-01-18,1547845200,375.0,0.2557,0.00747,0.56835,-0.01807,0.39231,0.24174,41.0,6.03, 80 x 513,5.75,5.95,210.0,35.7,0.204,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-01-10,174.29,2019-01-18,1547845200,373.0,0.25176,0.00754,0.56189,-0.01736,0.38516,0.24112,229.0,5.65, 158 x 15,5.65,5.76,210.0,35.7,0.205,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-01-11,175.28,2019-01-18,1547845200,372.0,0.25732,0.00764,0.57044,-0.01747,0.3945,0.23878,2.0,5.89, 580 x 353,5.7,5.95,210.0,34.7,0.198,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-01-12,177.09,2019-01-18,1547845200,371.0,0.27114,0.00779,0.59219,-0.01855,0.41777,0.23975,50.0,6.45, 222 x 624,6.19,6.45,210.0,32.9,0.186,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-01-17,179.1,2019-01-18,1547845200,366.0,0.29237,0.00789,0.61535,-0.02002,0.44541,0.24285,91.0,7.05, 22 x 405,7.0,7.2,210.0,30.9,0.173,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-01-18,179.26,2019-01-18,1547845200,365.0,0.29471,0.00783,0.61823,-0.02043,0.44836,0.24458,637.0,7.21, 38 x 34,7.15,7.31,210.0,30.7,0.171,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-01-22,177.0,2019-01-18,1547845200,361.0,0.27088,0.00775,0.58341,-0.0193,0.4074,0.24129,41.0,6.3, 20 x 304,6.2,6.36,210.0,33.0,0.186,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-01-23,177.04,2019-01-18,1547845200,360.0,0.27537,0.00777,0.58837,-0.01931,0.41229,0.24424,450.0,6.55, 35 x 288,6.35,6.61,210.0,33.0,0.186,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-01-24,174.22,2019-01-18,1547845200,359.0,0.25969,0.0075,0.56122,-0.01959,0.38202,0.24874,225.0,6.04, 53 x 406,5.91,6.11,210.0,35.8,0.205,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-01-29,167.96,2019-01-18,1547845200,354.0,0.23098,0.00696,0.50491,-0.01841,0.323,0.26351,761.0,5.18, 1 x 51,5.11,5.31,210.0,42.0,0.25,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
